# Release-world tree GROUND PROFILES: how far the ground rises, in decimetres, at
# 16.0 m from each authored tree seat along each of 8 compass bearings.
#
# WHAT IT IS FOR: laying a felled log along the terrain with NO runtime terrain
# query. The game server has no collision mesh for the island it drops the trunk
# onto, so the slope it needs is baked here, ahead of time, one signed byte per
# seat per bearing. Read the bearings either side of the fall heading and tilt.
# The value is the SMALLEST rise for which a straight log line from the seat
# clears every sampled ground point along that bearing - it rests on the high
# side, it does not average.
#
# GENERATED by tools/world-import/generate-tree-ground-profiles.py from
# docs/research/world-data/island-surfaces/ and release-tree-placements.json.
# Regenerate it; do not hand-edit it.
#
# Covered 251 islands, 13266 seats. Skipped 1 islands (0 seats) with no authored
# seats or no extracted surface.
# schema 1 reach 16.0 bearings 8 corridor 4.0 deck 6.0 min-t 8.0 unknown -128
# Bearing 0 is +Z (island-local); each step is +45 degrees towards +X.
# '@' starts an island: '@ <workshopId> <seatCount>'. Then one line per seat, in
# release-tree-placements.json order: 8 signed decimetre integers, space separated.
@ 650186469 60
6 1 -1 -3 -4 -1 3 2
1 1 1 -17 -9 -1 1 2
37 9 -4 -128 -128 -4 14 26
-19 -128 -128 -18 1 6 4 -6
12 4 2 -2 -2 -2 -1 -2
0 0 0 0 -2 -30 -9 -1
-128 -19 14 11 14 8 -128 -128
0 -1 -2 0 5 18 -128 -2
0 5 6 3 0 0 4 0
-128 -128 -128 -128 -128 -128 6 5
-128 -128 -11 1 7 7 14 -31
2 1 -2 -25 -30 -31 0 1
-33 -27 -4 -1 8 1 1 -23
0 -1 -1 -18 -2 -1 -1 -1
-5 -14 -1 3 7 6 7 -2
-3 -4 -5 -4 11 8 7 1
5 7 1 -1 -2 -4 0 1
4 -4 -6 -128 -128 -9 11 9
-128 -20 5 4 7 6 -14 -128
3 5 2 1 2 2 0 -2
0 -2 -4 -4 0 0 -2 -1
0 2 8 35 1 -1 -1 -1
-26 -21 11 7 10 4 1 -13
-128 -128 -128 -128 -128 -128 -128 -128
3 2 1 -14 -36 -31 0 1
-7 18 26 19 -6 -128 -128 -128
1 1 -2 -3 -3 2 3 1
@ 941505099 60
-3 -2 1 3 7 5 -1 -4
1 1 3 1 0 0 2 1
-2 -1 2 1 0 0 0 -1
2 1 0 0 1 3 2 1
-1 1 6 6 1 0 0 -2
45 -10 -24 -21 -22 -24 63 75
26 3 -4 -24 1 -128 -128 32
10 11 7 -3 -3 -5 -2 6
-1 -6 -9 -16 -8 0 0 -1
9 4 -2 -1 -1 0 3 8
20 13 2 -14 -12 -9 4 20
0 7 10 0 -1 -1 0 -3
9 5 -1 -21 -36 -7 4 7
17 -6 -12 -128 -128 -128 -1 15
0 1 1 2 1 2 10 1
16 15 6 8 9 -128 -128 -25
1 -4 -2 3 2 0 3 3
-6 -2 -1 0 3 11 20 -4
10 5 1 -6 -7 0 7 9
20 36 42 1 -4 -3 -2 1
-128 -128 -4 5 13 10 0 -128
2 3 4 1 0 0 -1 -1
8 9 6 2 -9 -1 11 2
-5 -5 -4 -3 11 14 -3 -8
7 -128 6 0 -5 -7 -5 0
56 76 55 -53 -14 -7 -27 -4
-128 -128 -128 -128 8 10 14 9
7 0 2 3 -4 -5 -4 7
-1 -4 -1 -6 -2 6 17 12
-5 7 -51 -128 -6 3 -5 -8
7 -5 -5 -3 -4 2 9 8
58 -128 0 -17 -128 -128 -73 0
-7 -5 0 -1 -1 -5 -6 -6
4 1 1 0 -1 0 5 5
-1 2 9 -43 0 -2 -4 -5
6 50 82 57 -24 -37 -12 9
26 4 -25 -39 -51 -13 22 27
-1 -128 -34 -14 2 -3 -4 -3
-59 -83 -15 40 27 -18 -32 1
6 -26 -49 -128 -5 1 0 1
-15 -4 30 -128 -128 -26 -28 -10
8 3 17 -5 -49 -128 -63 -15
3 3 1 1 5 5 3 1
5 0 -4 -4 -1 9 6 2
-11 -33 -42 -61 -23 -34 -128 -128
3 1 2 2 0 -15 -10 -4
-17 -16 -1 17 43 87 -128 18
30 9 -28 -39 -17 -5 0 -15
-1 -5 -4 -20 -4 4 6 1
42 4 -52 3 28 3 61 64
0 0 2 2 1 0 1 1
-1 -1 1 -2 -5 -7 -2 -1
-16 -5 1 2 3 -3 -9 -29
9 9 5 1 -3 -5 -3 4
41 15 -1 28 0 -13 1 15
-6 -5 6 -128 -128 -10 -2 -7
39 30 47 27 9 11 42 28
20 15 31 -5 -5 9 14 75
-1 0 -2 -45 -8 4 0 -2
-10 74 -128 -128 32 -9 -12 -15
@ 942473835 60
0 -6 -6 -21 -5 -1 13 4
-18 -16 0 6 5 -1 -17 -18
44 -128 -38 -33 -128 -128 -128 24
-10 0 9 12 7 -7 -10 -23
21 18 16 29 30 72 28 69
5 -22 12 22 18 15 3 12
-7 23 52 30 -25 -36 -30 -16
-7 -7 1 -8 2 16 4 -21
106 30 -128 -128 -102 -49 -128 104
0 0 -10 -34 -7 -11 17 24
-6 -11 -15 -8 1 12 14 10
30 56 43 1 -17 -44 1 2
3 41 34 -35 -24 -35 -29 -26
-14 -74 -79 -4 4 9 9 6
50 -20 -20 -48 -45 -14 19 -128
7 0 0 3 4 -6 -2 5
-128 -4 25 4 -6 -11 8 -128
51 14 5 -35 -74 -45 28 48
78 51 20 -11 11 6 17 62
17 -9 -18 -13 8 -10 -23 35
-5 33 78 -128 70 33 22 -18
11 72 53 10 -4 15 18 0
59 -128 86 41 19 36 18 5
-23 -17 24 38 37 45 47 27
-21 30 31 22 -39 -65 -50 -52
37 12 -6 -46 -36 -21 -21 61
-9 -14 -15 -74 -128 -128 -52 -128
-35 -96 -38 -17 69 80 79 -3
59 51 51 -1 -24 -7 27 27
7 -9 -8 17 53 58 50 16
-2 13 3 -45 -65 -5 29 6
-39 -25 9 23 22 -6 0 -34
50 0 -53 -24 -43 0 40 56
68 27 -7 -71 -38 -9 23 59
2 -1 14 -8 -1 2 23 22
-4 -28 -18 -14 12 -21 17 23
-5 -7 -3 0 6 3 -1 -4
64 -128 -128 -128 -61 27 46 -128
62 51 -1 -59 -62 -74 -44 43
-2 -128 -128 59 22 0 -43 -21
13 -2 14 12 -1 -33 -9 17
32 -128 -99 -128 -54 -21 -16 16
-22 -1 23 0 -7 -18 -36 -31
101 96 -128 -5 33 -128 113 77
-5 -20 -48 -33 -17 26 37 20
5 7 10 -14 -10 -5 5 -5
-24 5 29 22 11 -23 -15 -31
-43 -8 10 14 51 58 -128 -128
-2 -8 2 -4 -8 -14 -15 -18
75 -128 -128 62 -29 0 25 49
15 0 -72 -128 -26 16 24 -14
35 104 110 -128 4 -32 -14 -4
-28 -50 -28 -1 6 -25 -22 -18
40 31 2 -65 -72 -45 -6 19
50 69 35 16 -16 -29 -16 27
70 -128 -128 -128 -128 -128 -128 43
19 18 25 8 -12 -82 -14 16
19 -12 -128 -128 -128 2 17 20
37 -13 -33 -23 6 11 12 34
-128 -128 -17 40 50 61 -128 18
@ 944436171 60
-1 -3 -1 2 3 1 0 -1
1 1 1 3 0 -2 -3 0
-2 -2 1 1 2 3 4 -1
3 -1 -3 -2 38 38 24 2
57 4 -2 -2 6 -2 0 3
2 3 0 -2 -1 -4 -2 1
-1 -2 0 2 2 -1 1 1
4 4 4 6 15 -2 6 -1
-12 -18 -15 -24 -22 -10 2 -16
18 19 47 44 0 -58 -56 -60
-17 -19 -7 -1 5 2 1 -7
-2 -3 -2 -1 0 3 7 3
1 1 7 9 0 -2 -1 0
61 -9 -27 -11 89 -27 70 46
-2 20 12 15 18 -7 4 -3
4 2 6 7 7 -3 -5 -10
-16 -8 -4 12 10 5 -1 -16
4 2 0 12 12 2 -3 -3
-12 -128 -128 9 9 49 61 81
7 15 8 0 3 6 2 4
-6 -17 -17 -13 -1 8 10 4
-55 -28 -5 66 80 62 26 -46
1 -1 2 -3 -1 -2 2 2
13 9 0 -128 -128 -128 -40 12
-24 -128 -17 0 6 11 9 -8
-22 -12 4 8 14 2 -5 -12
6 -1 -4 -1 3 1 3 -1
-7 0 10 20 16 7 -3 -10
-128 -128 2 -13 -62 -59 -5 74
4 4 6 2 -2 -5 -4 -2
-7 -2 4 6 3 -2 -6 -9
-3 4 3 6 4 1 -3 -6
-7 -26 -12 -1 6 9 8 -6
42 -128 -128 48 26 -5 -8 8
11 -4 -3 1 -2 -12 -5 -6
-1 -4 -1 1 3 4 6 2
-24 -6 -5 1 7 7 1 -8
2 9 -3 0 2 6 -1 -2
3 4 5 3 18 7 -2 -1
0 -4 -2 0 -1 0 5 -4
-3 17 44 46 25 -7 -9 -10
0 10 18 12 -28 -128 -128 -128
-4 1 6 7 2 -3 0 -4
-115 -128 -59 45 62 25 26 -46
-7 -5 1 2 2 4 10 -4
19 -16 2 55 57 31 1 12
3 8 10 0 -36 -128 -128 -128
4 15 16 18 13 -128 -128 -128
-128 -128 -7 14 27 20 4 -128
-3 1 2 0 -1 -6 -7 -4
10 2 -2 -2 4 6 6 16
8 -5 -52 -128 -62 1 17 17
6 24 4 -5 -11 -3 5 17
-13 -2 22 104 97 -3 -4 -21
1 -6 -7 -8 4 -12 -10 -1
-50 -18 92 32 11 -38 1 -41
2 2 6 5 2 -12 -2 2
-4 3 25 14 0 -8 -9 -11
-5 -52 -72 -18 -58 -70 -59 -55
5 0 -2 -14 -128 17 24 5
@ 946315636 60
4 1 1 1 4 7 7 6
-1 -6 -10 -24 2 -3 -4 -8
1 2 -3 -3 3 -5 -2 -8
11 20 0 -7 0 -2 1 -2
6 -1 -9 -1 14 74 19 -5
21 11 10 -4 -3 -9 -5 6
-23 -128 -22 3 0 -2 0 0
4 0 0 1 6 19 12 -1
-3 -6 9 76 49 -1 -4 -5
-55 -24 13 6 3 -4 -6 -24
-5 10 10 0 18 -8 -8 -14
0 -1 -6 -17 -1 0 3 -1
54 58 21 16 -10 -51 -128 -83
15 5 14 36 108 -128 -128 60
3 55 58 -128 115 1 2 21
-3 0 -4 -128 -128 -17 2 -11
-26 3 4 -6 -8 -7 0 -128
12 -20 -31 17 1 3 -5 -21
-8 -4 -24 -13 6 1 -8 -34
6 -6 1 22 12 1 11 2
33 8 4 -3 -6 -5 2 -6
1 2 0 -3 -1 -1 1 2
1 30 -13 37 38 17 -14 -8
8 -29 6 -34 1 7 7 -2
3 -59 -68 -77 7 0 4 1
50 15 2 -2 0 -1 -2 9
79 78 79 -14 -21 -24 -9 -10
9 9 0 -2 10 -1 -2 2
-128 55 81 -10 -6 -14 -8 62
5 -33 12 9 11 7 2 1
-128 -128 -128 -7 -3 -128 3 -22
0 5 -1 0 7 36 -128 -128
8 16 0 1 12 10 5 -13
37 -128 -128 -128 -128 42 41 26
28 60 5 -6 -7 -11 -6 -1
-2 7 10 4 2 0 -6 -7
0 -2 1 -3 -4 -5 10 3
-2 -5 2 5 8 8 10 -1
-10 -21 -5 3 6 9 41 5
0 6 -128 -128 47 45 7 11
9 9 9 29 28 -5 1 -3
0 -6 -13 -12 28 -21 -8 -1
-128 -128 -128 4 6 -61 -30 -20
-29 -2 -12 -16 -14 -4 8 -128
0 2 7 6 4 1 -2 -3
-4 -3 8 11 8 2 -2 -8
0 0 7 10 -30 0 -3 -11
-6 -3 2 -14 -29 -11 -2 -9
3 7 4 0 -1 0 3 2
2 3 0 1 -3 7 3 -4
25 -5 -1 15 60 24 30 22
23 10 6 15 34 48 23 22
-6 -51 -57 -8 4 38 26 41
-2 -4 -4 2 9 56 15 -5
-16 -9 -3 2 -4 -13 -10 11
4 1 0 -1 0 0 0 3
10 41 64 84 23 -5 11 16
-23 -128 0 -128 -128 -128 -128 51
-128 -128 110 -128 11 0 -55 -128
9 9 9 9 -14 -75 -46 6
@ 946532982 60
-15 -5 2 4 4 3 -5 -18
-13 2 7 4 3 0 -7 -18
1 3 0 -18 -20 -10 2 0
13 13 11 6 0 -19 0 8
-4 -7 -9 -11 0 21 25 6
2 12 10 0 0 -128 -128 -64
2 -4 -2 -6 -13 -13 2 4
-13 -128 -28 -5 16 22 23 6
-6 1 6 27 27 2 0 -4
-21 -19 -2 5 9 5 2 -11
12 7 7 -1 -2 -5 2 -2
22 0 -11 -54 -54 7 19 21
-10 -128 -49 -6 10 16 17 8
-36 -25 0 5 19 -12 -12 -46
-16 -19 -8 -12 -11 -12 -9 -11
10 10 7 -9 -22 -22 -13 -1
-2 4 13 4 -8 -13 -11 -9
0 -9 -8 -6 2 4 10 8
-4 -9 -10 -19 -16 -13 0 0
-2 -7 -6 -9 -1 4 11 1
0 -3 -8 -25 -4 1 1 3
15 6 -4 -59 -52 -25 4 13
-10 -15 -6 1 7 6 4 -3
-5 -23 -30 -19 14 25 18 25
0 -58 -78 -57 -14 2 8 5
-16 -1 23 29 25 -3 -8 -32
0 -4 -9 -9 0 9 13 8
10 11 14 11 2 -72 -128 0
17 4 -3 7 17 19 18 13
3 8 10 2 1 -3 -5 -2
0 -11 -16 -10 2 -8 -5 -1
-7 3 7 9 9 -2 -7 -11
-55 -128 -29 12 23 -128 12 -25
-3 -5 2 5 1 0 0 -5
13 13 12 3 -128 -128 3 10
-11 -2 7 10 10 3 -1 -11
29 25 26 -45 -54 -77 -21 25
-12 -13 -3 6 14 7 -1 -10
2 2 -1 -2 0 0 6 3
3 15 3 -2 -33 -71 -42 -3
8 9 -2 -13 -16 -9 0 4
-7 3 12 11 -1 -37 -42 -43
-16 -7 5 5 5 -9 -21 -22
8 8 5 -4 -4 3 7 6
-20 -12 9 6 9 -11 -19 -128
4 -1 -6 -4 1 -10 -9 -7
-1 -16 22 -25 4 14 19 4
-16 0 3 4 6 4 -6 -26
-23 -21 -5 5 14 14 5 -3
12 -1 -5 -11 -4 2 12 31
-8 -11 -10 -6 7 8 6 -4
-128 -54 -57 -7 7 15 16 -12
14 10 15 -2 -2 -60 -20 -3
-50 -128 -12 22 34 25 11 -10
1 -15 -15 -1 41 37 39 0
-19 -6 8 12 14 -1 -11 -23
21 28 10 -7 -16 -16 -14 -5
-11 -16 -14 -9 19 19 8 -8
9 -2 -12 -23 -19 -8 4 9
3 7 11 15 15 0 -55 -48
@ 947422891 38
-12 -1 11 14 10 4 3 -8
-8 -3 -1 2 3 -10 -16 -6
-4 5 14 9 10 -6 -16 -20
1 14 13 1 -12 -19 -22 -9
13 16 3 -11 -18 -11 -5 3
11 11 8 4 -4 -12 -5 3
3 3 -2 -22 -24 -21 -6 -4
-128 -128 -128 -128 -8 11 -26 -128
6 -2 -19 -1 18 -13 -6 -1
1 7 12 -6 -9 -10 -11 -8
6 11 8 0 -128 -128 -128 -128
8 18 14 -5 -12 -23 -14 -4
8 4 2 -5 -3 -8 -128 -41
29 5 -11 -17 -19 -20 16 33
-4 2 12 6 2 4 4 -3
-25 -13 22 21 14 3 -4 -128
-40 -38 -128 -128 9 6 14 18
-9 7 13 20 10 -1 -6 -12
0 -128 24 -128 0 -128 -128 -128
8 5 11 4 -5 -11 -1 -1
-128 -128 35 -8 1 -4 -1 37
0 5 2 0 -6 -4 -2 -5
-31 -10 36 0 -21 -12 -7 -37
0 1 -2 -28 0 -26 -7 -2
-19 -128 -10 -6 -16 -15 0 -1
-5 -10 -6 -6 2 3 1 -2
-14 -12 -3 0 8 13 6 -12
-22 -32 -128 -128 15 15 10 -15
11 1 1 -9 -13 -13 2 11
18 14 11 -5 -15 -15 0 11
5 -3 -11 -128 -128 -9 -1 4
-128 -128 -4 9 26 10 1 -128
-4 -6 -5 -128 11 3 -6 -11
14 24 9 0 -128 -128 -128 2
21 25 12 -21 -128 -25 3 12
16 20 21 3 -5 -21 -14 2
6 19 20 10 0 -128 -128 4
-5 11 2 -26 -128 -128 -128 -27
@ 948267589 53
-35 -66 -18 -9 7 6 4 -11
-6 -5 -2 0 5 6 10 2
5 2 -3 -4 0 0 6 4
-24 -8 10 28 12 -128 -128 -23
26 56 37 13 13 -3 -5 11
28 7 1 -11 -9 -7 2 12
51 -30 -34 -11 -12 18 33 48
-28 -35 -18 -7 -128 -128 -128 -7
-11 -24 -14 -128 74 28 26 11
-65 -47 -17 -9 14 24 20 5
13 6 -3 -4 -4 -6 -3 5
0 -2 -6 3 -6 9 14 4
52 25 9 -128 -128 -128 -128 36
43 27 1 -44 -26 -12 -1 21
-47 -128 0 -128 -128 -128 -13 -128
3 0 -5 -18 -9 -3 2 3
16 57 45 3 -33 -49 -21 -5
32 26 13 -20 -23 -7 -2 27
98 50 53 31 -4 -10 -1 -128
23 -128 -128 -128 3 5 5 -22
0 -44 -45 -8 29 29 -128 13
9 27 40 57 62 39 -40 -38
7 -16 7 -48 -112 -128 -128 -50
-8 -128 4 24 20 -5 -5 -24
8 3 -2 -19 -49 -59 -11 7
4 -7 12 37 49 62 66 36
1 1 0 10 -7 8 5 -9
-5 -6 -3 -2 4 6 2 -4
-21 0 5 15 39 -71 -26 -54
-18 -21 -9 3 90 100 23 -19
-27 -28 -128 -128 -128 -3 9 -12
-57 -72 -43 -41 -17 -27 -54 -53
6 5 5 -14 -16 -15 4 7
1 2 2 2 9 15 20 7
-31 -1 -7 -2 31 40 42 4
0 17 45 -128 -128 -128 0 -39
10 -38 -61 -128 -11 16 33 26
1 -1 -2 -5 5 8 10 5
11 6 -6 -38 -34 -19 5 8
-1 41 -1 -128 -17 -45 -128 -128
10 7 -58 -128 -58 1 22 19
61 31 -2 -32 -85 -65 -34 56
-3 -14 -7 -1 6 2 1 -1
-21 -29 -6 4 18 20 11 -9
39 30 67 66 7 56 69 56
-3 2 2 6 12 12 -1 -19
30 55 50 1 -14 -9 -11 -49
-19 -14 9 20 28 20 6 -24
20 4 -7 -19 -14 20 21 12
-128 -128 -128 -128 -128 -128 -128 -128
-6 -21 -25 -20 -4 -1 3 -2
-7 -17 26 -34 -74 -46 -13 -14
57 -7 -4 11 11 -9 -30 6
@ 949069116 60
0 1 1 1 0 -1 -2 -1
1 0 0 0 0 0 1 1
-1 -3 -2 -1 1 1 1 0
0 0 0 -1 0 -1 0 1
-10 24 0 -10 18 37 39 -20
-8 -3 3 -128 -128 -5 1 -5
1 1 1 0 0 2 8 7
9 8 12 11 18 8 6 7
37 30 50 54 -4 -6 -3 10
55 28 9 -4 -8 -12 1 63
-3 -3 -1 -2 8 9 7 -4
5 11 2 1 2 4 1 -2
-1 -128 -128 36 70 18 -55 -28
-30 -128 4 -21 7 8 -2 -2
24 15 4 2 4 4 -2 18
72 69 0 -128 -85 23 64 15
-35 58 39 53 43 42 40 7
13 16 9 2 1 -2 -2 0
14 -11 0 8 21 55 -128 62
-1 -10 -6 -9 -7 -7 -4 -5
0 -5 -1 0 2 1 1 0
-1 -13 -12 4 4 -128 77 39
1 0 -1 -1 0 0 1 1
0 31 -128 18 0 -35 -29 -26
-8 -14 -5 33 23 -128 -128 -19
50 48 14 -18 0 0 -9 9
2 0 -1 -2 8 1 2 2
3 32 55 -128 3 -16 -12 -14
-1 -1 -1 -1 -1 0 0 0
4 3 4 -1 -21 -102 -24 -1
4 -11 -11 -10 -4 18 27 23
-12 -7 7 42 -128 35 37 -7
3 -128 -128 71 71 67 57 17
15 17 12 -1 -2 -3 9 8
5 2 -35 -37 -4 -2 2 -1
2 2 3 6 -22 -23 -4 -1
-7 2 9 -128 7 -8 -9 -11
0 1 2 1 0 -4 -7 -7
11 -3 0 1 1 0 6 6
-17 -19 6 12 -128 -10 -11 -32
1 -3 -24 -21 -2 0 2 2
-3 -1 1 1 2 2 1 -1
33 -128 24 -40 58 19 45 6
-34 46 49 -128 -128 -128 -4 -14
1 3 3 3 0 1 -1 6
35 -11 -54 -9 12 16 0 34
2 11 15 9 -4 -23 -25 -14
-3 -1 0 0 1 0 -2 -8
10 6 10 -5 -9 -10 -7 -8
1 1 1 0 -1 -2 -2 -1
5 -128 -128 -128 8 -7 -11 -11
25 24 -28 -128 9 16 25 5
1 1 1 1 1 0 1 1
7 8 11 7 1 -128 -128 -24
-1 -1 0 0 0 -1 -3 -2
5 -128 -128 -128 19 18 14 6
0 10 12 28 0 0 0 0
-31 -40 -30 -16 8 20 8 -5
27 13 -3 9 23 14 6 -2
-7 2 6 4 4 -4 -8 -9
@ 950242829 60
23 63 20 -7 -7 -7 -4 -5
11 8 -17 -128 -128 -128 -128 -4
-2 10 -4 -7 39 91 96 0
10 1 -2 -19 -16 -2 8 13
37 2 43 40 1 17 38 60
-38 -21 -2 31 36 17 16 -21
-37 2 12 37 32 15 9 -54
-24 -40 -41 -37 -42 7 23 -1
-11 8 8 19 21 2 2 -18
31 19 -2 -5 -13 -39 -34 -8
-6 -73 -86 -74 -13 -13 -3 -21
0 -7 -10 16 24 6 3 0
19 34 55 26 1 -12 -29 0
5 1 -3 -13 -13 5 5 3
33 39 19 4 2 -31 -54 -128
34 -128 45 -3 11 18 1 6
58 35 -12 2 10 -12 2 56
40 56 68 21 22 1 8 -10
-14 -14 -10 14 35 36 13 -5
8 8 60 -128 80 57 -9 -6
46 51 46 43 46 -13 10 -13
-2 17 25 5 13 15 3 -15
-36 -62 -10 9 11 4 2 -29
-40 -25 -3 -32 -34 -128 -128 -31
17 2 4 30 45 58 14 1
5 -14 -18 -38 -21 2 17 21
-128 6 -12 3 3 6 6 -128
-23 -26 -20 -1 0 12 13 6
32 25 0 8 16 0 16 27
-17 -44 -42 14 15 3 3 2
3 4 5 4 3 -9 -13 -7
-4 -128 -128 -128 32 -3 -5 -11
8 28 -8 -27 -26 -15 3 -17
-10 -10 22 37 -128 15 16 -10
-1 6 15 8 -1 -26 -13 -11
-57 -9 5 5 6 5 -128 -35
-13 7 35 26 4 -16 -15 -21
14 0 20 15 9 0 1 7
13 22 33 0 -19 -47 -10 -1
26 45 34 -128 -128 -22 24 27
67 -37 -39 -128 -128 3 3 30
-22 -7 17 47 49 11 -11 -21
19 5 -23 -37 -28 -35 -22 12
7 1 2 -15 -50 -128 -55 -37
19 23 11 -65 -12 -13 -6 16
-42 -39 -5 -13 -14 -21 -16 -51
8 5 -16 -61 -7 17 39 8
0 2 19 24 19 0 -2 -7
1 42 45 30 -22 -49 -53 -43
-12 18 21 -128 -128 -2 -2 -11
4 -24 -68 -128 4 7 8 -6
23 27 3 0 6 -19 -22 6
-17 18 31 33 33 -26 -79 -72
20 -128 42 0 -58 -48 -23 0
57 -16 -23 -87 -32 30 54 -128
27 -2 -18 -19 27 -128 -128 -128
15 -12 -19 -60 -30 -56 -49 -10
-24 -28 -4 10 14 -11 -18 -26
-128 -128 28 -13 -16 -13 -1 6
-9 60 110 67 0 -14 -15 -16
@ 953922232 60
1 -128 1 -128 13 -128 12 -128
-1 -4 18 -4 0 -1 3 0
10 10 5 -2 -5 -3 -1 5
4 -1 21 -5 -10 -10 -3 1
21 36 43 32 -18 -54 -29 -2
10 21 22 10 11 -11 -23 -18
15 2 3 5 24 -3 12 15
2 10 29 35 18 -4 -27 -7
0 6 8 1 1 -14 -11 -7
-6 -21 -16 -8 8 10 13 7
-9 -12 -6 3 8 -1 -5 -11
15 -6 -25 -28 -11 2 6 14
-45 -41 -21 12 29 33 29 -128
-26 -36 6 4 -17 -53 -42 -42
-2 0 -2 72 101 72 33 -5
0 13 22 21 9 -9 -17 -18
-128 -128 -54 5 28 21 11 -20
0 0 1 1 2 1 0 1
6 5 3 -6 -9 -10 -6 0
1 -128 -74 -2 8 26 25 15
-36 0 28 33 21 -4 -18 -65
97 68 1 -11 -13 -10 -1 68
-7 -5 -2 3 11 13 6 -3
-15 -26 5 24 38 42 34 5
3 -128 -128 -128 1 -1 1 67
15 9 0 -17 -13 0 18 23
-11 -11 13 17 23 14 -8 -14
14 7 -3 -12 4 10 9 -2
27 12 3 -13 -11 -8 6 21
3 14 14 12 16 -1 -5 0
16 26 24 -1 -17 -31 -23 -4
-5 3 16 19 16 15 14 -14
11 6 -3 -10 -14 -20 -6 7
-128 -128 36 93 -128 12 13 -128
-17 -15 1 12 13 2 -1 -7
22 15 0 25 34 25 -1 15
-40 -29 -31 22 39 49 42 3
2 -9 12 -4 -3 -2 -2 -1
87 62 4 -9 -15 -12 -3 62
-4 -1 -7 -5 4 11 -128 -4
-2 -11 -20 -10 1 36 38 32
12 21 17 29 33 22 31 6
37 27 7 -22 -15 -1 44 43
7 16 20 8 -7 -29 -27 -6
8 26 -2 -8 -5 -3 -1 -5
-2 -128 -128 -128 -5 28 -128 24
-25 -31 -16 -3 15 21 14 -13
0 0 0 0 0 0 0 0
0 -2 0 3 6 14 16 14
-31 -39 -23 6 25 22 15 -8
61 38 22 -8 -22 -21 14 46
0 0 0 0 -128 0 0 0
25 25 14 -1 -16 -13 -5 8
25 15 -9 -49 -39 -13 -2 15
23 14 -1 -29 -78 -55 -3 13
-2 -25 -49 -49 -16 33 33 32
14 17 1 -9 -33 -31 -20 0
-19 -29 -23 20 28 34 33 5
-5 -13 -7 6 12 17 11 0
-12 -9 -2 10 19 19 13 -5
@ 953937597 60
43 12 -9 -31 -39 -35 -34 21
9 30 110 -128 50 -6 -10 2
-9 -8 24 59 65 36 33 -15
-128 -128 -128 -41 -40 11 11 -128
38 21 -29 -29 -4 -22 -46 -128
-28 -9 0 -128 -80 0 59 0
-16 2 37 60 30 9 2 -14
-43 -41 8 75 -128 -128 63 20
-95 -80 -48 -7 68 92 98 -128
-18 -21 -20 -7 27 39 26 11
-28 -2 43 48 9 26 0 -35
-14 -13 -9 4 1 -12 -7 1
-26 15 21 21 23 18 -128 -99
51 -128 -128 -128 -128 -128 17 -128
-5 -128 -41 -4 21 19 25 19
-28 15 -28 102 104 -128 70 21
-5 16 54 74 47 0 0 0
-128 67 -23 -128 -128 -128 -128 -128
17 0 -58 41 63 16 -38 14
-66 -72 -28 -7 24 -29 -90 -128
-128 -128 -59 35 14 -5 2 33
28 -28 -9 -37 -33 -8 35 47
-11 -44 -38 -128 -43 -28 27 21
-128 -128 -128 1 -2 -5 -9 -128
18 38 24 83 40 37 39 32
-1 -17 29 18 19 39 32 6
47 -128 30 -128 -18 -59 -49 -77
-23 -46 13 72 -128 94 100 18
-6 17 49 35 6 -49 0 -12
13 11 7 -2 -18 -7 11 10
5 16 7 -29 -17 -9 -5 -14
52 19 58 102 -128 -128 -128 27
23 50 70 46 47 12 -34 -30
58 -128 0 -13 -14 -19 34 63
26 -29 -40 -40 -26 -65 -22 22
-3 16 71 -128 102 17 18 -6
5 113 120 82 14 31 3 -9
-72 -14 4 -6 -33 -94 -128 -128
-9 25 53 42 31 13 -37 -62
106 47 17 -3 26 58 104 -128
-64 -128 -92 -128 -128 -35 20 -26
6 -18 20 17 28 37 5 -44
-74 -37 -7 -5 15 -128 -128 -128
26 34 112 -128 107 25 -5 28
-13 6 24 53 34 0 35 -2
-128 84 24 -41 -39 -128 -128 -128
-78 26 28 51 39 35 37 -57
21 47 28 21 5 -4 32 -5
-11 10 37 82 -128 26 -7 -24
-128 -128 30 -5 -128 -33 3 -128
-75 -128 -128 -65 -79 -85 -41 -41
35 -128 10 -128 -53 -128 -64 -128
-20 -25 2 12 34 62 64 1
-10 -24 15 48 49 -61 -40 -35
-43 -41 -14 -128 73 46 42 8
64 56 -6 -52 -59 -42 5 25
71 20 -37 -128 35 -14 -15 45
10 -9 51 35 33 94 100 7
-21 -13 43 37 59 33 49 31
-59 -52 -42 -23 5 33 36 -128
@ 954012548 40
-7 -41 -62 -62 15 59 60 11
12 14 19 10 -4 -11 -15 -14
14 10 7 -6 -3 -6 7 9
-2 -8 4 41 101 20 3 4
-128 29 -8 -128 -128 -4 -128 -128
60 84 88 11 -13 -23 -17 -15
28 -10 -36 -128 41 -128 -128 -128
-1 32 33 28 11 -23 -53 -81
-5 10 35 48 42 -6 -25 -28
62 60 43 -4 -11 -23 -23 -4
57 55 -1 -11 -1 -3 1 13
-20 -64 -32 -1 14 18 20 16
0 10 11 9 -5 -34 -48 -35
-128 -128 29 -128 -128 -128 -128 -128
-15 -128 -4 0 0 0 0 1
